timestamp,label,method,suite,variant,repeat,test_id,status,duration_ms,run_wall_ms,run_ai_calls,run_prompt_tokens,run_completion_tokens,run_ai_ms,run_cost_usd
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,B3,passed,694,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,B4,passed,706,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,C1,passed,1168,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,C2,passed,583,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,C3,passed,929,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,C4,passed,336,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,D1,passed,335,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,D2,passed,435,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,D3,passed,270,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,D4,passed,243,2664,,,,,
2026-07-08T14:30:38.970Z,gd4-main,locator,main,v0,3,D5,passed,216,2664,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,A1,passed,535,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,A2,passed,516,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,A3,passed,693,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,A4,passed,733,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,A5,passed,970,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,B1,passed,441,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,B2,passed,553,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,B3,passed,849,2605,,,,,
